"","Quarters_ended","Sales"
"1","Jun 30, 2019","67,491 "
"2","Mar 31, 2019","61,646 "
"3","Dec 31, 2018","68,253 "
"4","Sep 30, 2018","74,187 "
"5","Jun 30, 2018","71,456 "
"6","Mar 31, 2018","65,436 "
"7","Dec 31, 2017","66,901 "
"8","Sep 30, 2017","58,551 "
"9","Jun 30, 2017","55,236 "
"10","Mar 31, 2017","56,474 "
"11","Dec 31, 2016","58,376 "
"12","Sep 30, 2016","56,767 "
"13","Jun 30, 2016","56,360 "
"14","Mar 31, 2016","47,105 "
"15","Dec 31, 2015","57,691 "
"16","Sep 30, 2015","65,679 "
"17","Jun 30, 2015","71,360 "
"18","Mar 31, 2015","64,758 "
"19","Dec 31, 2014","83,868 "
"20","Sep 30, 2014","103,206 "
"21","Jun 30, 2014","105,719 "
"22","Mar 31, 2014","101,312 "
